MontoPagado;Interes;Plazo;Tipo;Mensualidad;MontoAsegurado;TipoPago;ModoPago;Fiador;Fiador2;OtroSeguro;Record;Edad;EstadoCivil;Salario;Fraude
7185836.26;17.25;491.3333333;Nacional;27047.14231;1128712.121;A;Cajas;Si;No;No;R0;35.5;Soltero;0;No
3946925.48;17.25;490;Nacional;17011.15385;613560.6061;A;Tarjeta;No;No;No;R0;31;Soltero;0;No
4864295.62;12.25;490.3333333;Nacional;18482.69231;765075.7576;A;Tarjeta;No;No;No;R0;32.5;Soltero;0;No
3992908.34;12.25;491.6666667;Nacional;15927.69231;613560.6061;A;Tarjeta;Si;No;No;R0;35;Soltero;0;No
8772006.22;17.25;491.6666667;Nacional;31811.92308;1371136.364;A;Tarjeta;No;No;No;R0;38.5;Soltero;0;No
9586367;17.25;491.6666667;Nacional;63464.23077;1522651.515;B;Tarjeta;Si;No;No;R0;40;Soltero;0;No
5893564.66;17.25;491.6666667;Nacional;13291.92308;916590.9091;C;Tarjeta;No;No;No;R0;36.5;Soltero;0;No
1169792.2;17.25;491.6666667;Nacional;8575.211538;189318.1818;A;Cajas;No;No;No;R0;32;Soltero;0;No
1917066.28;17.25;491.6666667;Nacional;16810;310530.303;B;Tarjeta;No;No;No;R0;38.5;Soltero;0;No
2174472.68;17.25;491.6666667;Nacional;11637.69231;340833.3333;A;Tarjeta;Si;No;Si;R1;33.5;Soltero;0;No
9842876.78;17.25;491.3333333;Nacional;34955.76923;1522651.515;A;Tarjeta;No;No;No;R0;34;Soltero;0;No
1937379.26;12.25;492;Nacional;10375.76923;310530.303;A;Tarjeta;No;No;No;R0;33.5;Soltero;0;No
5885708;17.25;491.6666667;Nacional;22860.76923;916590.9091;A;Tarjeta;No;No;Si;R2;36;Soltero;0;No
